State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Alabama,3.8,4.4,4.8,4.7,4.4,6.2,6.2,8.6,10.9,12.9,13.2,11.4,11.5,11.7,12.4,14.9,15.1,15.5,9.7
Alaska,7.4,7.7,9.8,13.1,12.8,13,11.8,11.3,10.6,18.5,18.7,11.7,14.8,17.6,14.3,16.8,16.5,17.3,13.7
Arizona,10.2,10.2,10.5,11.6,12.2,13.2,13.6,14.5,15.3,13.2,15.8,17.2,16.5,17.3,18.4,18,18.7,19.9,15.1
Arkansas,4.3,5.2,4.7,6.5,6.8,8.4,9.7,10.1,10.6,12.5,12.1,12,12.1,12.6,10.8,12,13.2,13.4,9.9
California,7.9,5.7,3.6,8.5,8.8,8.8,9,9.7,10.6,10.6,11,10.9,11.1,10.6,11.6,11.7,11.9,11.9,9.7
Colorado,8.3,8.2,9.3,10,11.1,11.3,13.1,13.3,15.3,15.3,15.5,13,16.5,15.6,16.1,16.8,15.9,17,13.6
Connecticut,9.2,9.4,8.9,10.2,8.8,9.5,8.4,11.6,12.3,10.9,11,10.2,11.2,12.2,16.2,17.3,22.3,27.1,12.7
Delaware,6.5,7,8,10.4,9.4,7.6,7.3,9.1,11.1,14,15.3,16.1,17.6,15.4,17.9,20.2,20.9,29.6,13.9
District of Columbia,8.4,13.3,16.2,10.6,18.1,15.3,13.6,17.7,10.6,9.7,4.4,13,13.9,12.2,15.8,14.6,18.6,39.5,15
Florida,6.3,7.3,10.7,11.5,12.1,13,13.3,14.3,15.2,16,16.6,16.3,15.3,13.4,12.7,13.2,15.9,22.9,13.9
Georgia,3.5,4.4,6.1,6.6,7,7.6,8.3,9.1,9.9,9.8,10.5,10.9,10.8,10.6,11,11.9,12.7,13.5,9.3
Hawaii,6.6,5.2,6.3,6.2,7.4,8.1,9.7,6.6,10.3,9.2,10.1,11.1,13.1,11.1,11.3,11.1,11.8,13.4,9.5
Idaho,5,4.9,7.4,8.7,7.5,7,7.6,8.9,8.4,9.5,11,11.4,12.2,11.3,12.8,13,13.2,14.4,9.9
Illinois,6.7,7,7.1,7.9,6.7,8.2,8.5,10.8,9.4,10.6,10.8,10,10.9,12.6,12.3,13.2,14.3,18.8,10.4
Indiana,3.2,3.5,4.6,4.8,7,8.7,9.7,11.6,12.2,12.9,13.9,14.3,15,15.5,16.2,17.8,18.8,23,12
Iowa,1.8,2.5,3,3.1,3.3,4.1,4.8,6.3,6.8,6.9,6.8,8.3,8.2,8.4,8.9,8.5,9.9,10,6.3
Kansas,3.3,3.8,5.1,6.3,6.9,8.2,8.8,9.3,9.7,7.8,10.7,9.4,9.8,11,11.4,11.4,11.3,10.8,8.7
Kentucky,4.9,6,8.5,10.4,13.6,12.7,15.3,17.3,16.6,17.8,17.8,23.2,24.2,24.6,23.2,24.4,28.8,32,18.1
Louisiana,4.2,5.5,5.9,8.1,11.9,11.8,14.4,16.4,18.5,14.6,13,13,13.1,12.3,17.5,16.7,18.4,21.3,13.2
Maine,5.3,4.8,6.6,10.7,10.2,10.7,12.4,12,12,12.2,13,10.2,11.7,11.3,13.1,16.2,20.2,26.5,12.2
Maryland,12,11.8,11.9,13.3,14.2,12.2,11.7,13.5,13.6,12.2,13,11.3,12.1,14.1,15,17.9,21.4,34,14.9
Massachusetts,7.7,7.3,10.8,11,12.8,10.4,12.2,15.1,14.3,12.2,12.5,11.3,13,12.9,16.2,19.1,25.4,32.7,14.4
Michigan,4.6,5.6,6.2,7.5,7.6,8.6,9.8,11.7,12.4,12.5,14.4,14.1,14,13.2,15.7,17.8,20,23.6,12.2
Minnesota,2.8,2.6,3.7,4,4.9,4.9,5.5,6,6.5,7.3,7.9,7.5,9.6,9,9.6,9.5,10.6,12.2,7
Mississippi,3.1,4,5.9,6.4,7.2,7.8,8.5,11.7,10.7,10.3,10.9,11.3,10.1,10.4,10.6,11.2,11.7,11.8,9.1
Missouri,5,5.4,6.2,7.3,9.1,9.5,10.5,12.7,12.1,12.9,14.5,16.7,16,15.6,17,17.6,17.5,22.5,12.8
Montana,4.6,4.5,6.2,8.6,10.1,10.5,10.2,10.2,13,13.7,14.4,11.9,14.1,11.7,13.5,12.2,13.4,11.4,10.9
Nebraska,2.3,2.7,3.8,3.8,3.2,3.4,4.9,5.1,4.5,5.2,5.8,6.4,7,7.9,6.3,6.6,6.6,6.3,5.2
Nevada,11.7,13.7,12.4,14.9,15.2,16.2,18.8,18.3,19.2,19.6,20.5,21.4,23.5,21.8,22,19.2,21.4,22.6,18.9
New Hampshire,4.4,3.6,6.3,8.7,9.9,9.6,10.9,11.4,14.2,9.6,12.8,12.2,15.9,13.1,15.3,25.2,31.7,36,14.1
New Jersey,6.7,7.6,8.3,9.5,8.4,6.8,9.5,9.8,8.4,8.1,3,9.9,11.5,13.8,14.5,14,16.2,23,10.6
New Mexico,14.7,14.9,14.1,15.5,19.1,16.5,19.3,21.3,23.2,25.8,21.5,23.2,25.4,23.6,22,26.2,24,24,21
New York,5.1,4,5.7,4.8,5,4.3,4.9,8.8,8.9,8.8,8.2,8,10,10.8,11.7,11.6,13.9,18.4,8.6
North Carolina,4.6,6.1,6.7,7.8,9,10,11.5,11.9,11.9,12.8,12.6,11.5,13.1,13.3,12.8,13.7,15.6,19.3,11.6
North Dakota,1,1,1,1,3.4,1,1,1,4.9,7,4.1,3.4,1,3,2.8,5.8,8.1,10.2,4
Ohio,4.1,5,6.5,8.2,6.8,9.9,10.8,13.2,13.8,15,10.7,15.9,17.5,18.4,20.3,23.7,28.5,37.3,14.8
Oklahoma,5.2,6.9,7.8,6.9,11.4,13.5,13.5,15.7,18.3,15.4,20.3,19.1,18.5,20.2,20.5,20,18.5,20.7,15.3
Oregon,6.2,6.1,6.9,9.1,10,10.2,10.7,13.2,13.5,12,13.2,13.1,13.7,12.6,11.6,13.1,12.5,12.4,11.2
Pennsylvania,8.1,9.3,7.8,8.9,11.2,12.4,13,13.1,13.8,14.7,15.1,15.1,18,18.5,19,21.4,25.5,36.2,15.7
Rhode Island,5.6,7.1,10.4,9.3,13.6,9.9,14.6,16.5,12.8,17.5,15.3,15.9,18.1,18.7,22.9,23.4,29.3,30.9,16.2
South Carolina,3.7,6.4,6,5.3,6.9,8.5,10,12.7,12.3,12.5,13.4,14.7,13.2,12.4,13,14.5,15.5,17.7,11.3
South Dakota,1,2.6,3.2,2.9,3.1,5.6,5.2,4.7,4,6.8,6.1,5.5,6.9,5,6.5,7.4,7.6,8,5.3
Tennessee,6.1,7,7.4,8.5,11.3,12.9,14.6,16,15.9,15,15.3,17,17,17.5,18.3,19.4,22.1,24.5,15
Texas,5.3,4.9,6.4,7.4,8,8.1,8.4,9.4,9.2,8.4,9.7,9.5,10.1,9.4,9.2,9.6,9.4,10.2,8.6
Utah,9.3,9.4,9.2,12.4,15,14.9,17.8,17.6,19.7,17.6,17.6,15.7,17.9,21,20.5,20.5,21.6,20.8,16.9
Vermont,4.8,5.9,7.2,7.6,10.5,8.1,8.5,12,10.6,11.7,8.8,10.1,13.2,11.2,14.8,13.2,15.8,20,10.8
Virginia,5.2,5.8,6.4,7,7.4,7.5,7.7,8.2,9,9.2,8.6,7,9.9,9,10.3,11.8,12.4,16.7,9
Washington,9.5,9.4,8.3,10.6,11.4,13.1,13.6,14.1,14.9,15.4,14.8,13.6,14.6,14.3,13.9,13.9,15.3,15.1,13.2
West Virginia,4.1,6.2,11.4,12.7,14.5,18.3,10.1,19.8,21.6,24.9,12.2,27.6,34.2,30.1,30.7,33.9,39.3,48.3,22.3
Wisconsin,4,4.6,5,6.2,7,7.9,9.3,10.6,11.1,10.7,11.1,11.1,12.2,12.1,14.9,14.8,15.2,18.6,10.5
Wyoming,4.1,4.5,4.4,6.8,6,9,5.1,10.5,11.8,13.6,10.7,15.1,15,17,16.8,18.7,16.4,16.9,11.5
